Width,Height,Area,AspectRatio,X,Y,Confidence,Label,Type
17,85,1445,0.2,1446,1081,1,0,Window
148,128,18944,1.15625,983,1036,1,0,Window
134,177,23718,0.75706214,1504,994,1,0,Window
100,91,9100,1.0989012,1542,992,1,0,Window
17,86,1462,0.19767442,1446,992,1,0,Window
33,96,3168,0.34375,190,928,1,0,Window
16,84,1344,0.1904762,1447,905,1,0,Window
89,92,8188,0.9673913,1553,901,1,0,Window
40,35,1400,1.1428572,1504,860,1,0,Window
16,237,3792,0.067510545,1385,830,1,0,Window
34,212,7208,0.16037735,1431,804,1,0,Window
137,100,13700,1.37,559,768,1,0,Window
133,90,11970,1.4777777,560,679,1,0,Window
134,91,12194,1.4725275,559,586,1,0,Window
199,146,29054,1.3630137,75,518,1,0,Window
136,91,12376,1.4945055,558,492,1,0,Window
61,79,4819,0.7721519,1808,1091,1,0,Window
19,58,1102,0.3275862,1377,1047,1,0,Window
25,79,1975,0.3164557,1071,1039,1,0,Window
28,104,2912,0.26923078,648,1035,1,0,Window
27,103,2781,0.26213592,612,1034,1,0,Window
26,101,2626,0.25742576,577,1034,1,0,Window
59,155,9145,0.38064516,1727,1011,1,0,Window
56,151,8456,0.37086093,1651,1011,1,0,Window
108,175,18900,0.61714286,1687,1000,1,0,Window
140,184,25760,0.76086956,1563,995,1,0,Window
225,343,77175,0.65597665,1252,994,1,1,Door
181,194,35114,0.9329897,1232,991,1,1,Door
111,88,9768,1.2613636,0,990,1,0,Window
325,187,60775,1.737968,1652,951,1,0,Window
227,359,81493,0.632312,1185,884,1,1,Door
27,45,1215,0.6,185,832,1,0,Window
154,148,22792,1.0405406,131,745,1,0,Window
55,62,3410,0.88709676,1322,699,1,0,Window
68,71,4828,0.9577465,1675,664,1,0,Window
61,160,9760,0.38125,2147,647,1,0,Window
55,65,3575,0.84615386,1322,638,1,0,Window
60,128,7680,0.46875,1392,630,1,0,Window
271,233,63143,1.1630901,1252,595,1,0,Window
71,142,10082,0.5,1765,586,1,0,Window
365,223,81395,1.6367713,1553,563,1,0,Window
58,56,3248,1.0357143,568,462,1,0,Window
44,111,4884,0.3963964,615,419,1,0,Window
77,96,7392,0.8020833,535,418,1,0,Window
46,84,3864,0.54761904,860,401,1,0,Window
51,51,2601,1,1255,394,1,0,Window
99,123,12177,0.80487806,1420,361,1,1,Door
110,125,13750,0.88,1321,360,1,1,Door
69,216,14904,0.31944445,655,335,1,0,Window
65,31,2015,2.096774,895,318,1,0,Window
38,33,1254,1.1515151,618,276,1,0,Window
24,49,1176,0.48979592,1336,273,1,0,Window
44,61,2684,0.72131145,1263,265,1,0,Window
29,61,1769,0.47540984,663,247,1,0,Window
18,34,612,0.5294118,619,242,1,0,Window
19,67,1273,0.2835821,595,241,1,0,Window
32,62,1984,0.516129,537,241,1,0,Window
34,63,2142,0.53968257,348,240,1,0,Window
99,88,8712,1.125,337,240,1,0,Window
68,47,3196,1.4468085,579,621,1,0,Window
17,137,2329,0.124087594,1002,574,1,0,Window
95,161,15295,0.59006214,634,573,1,0,Window
17,157,2669,0.10828026,897,554,1,0,Window
86,53,4558,1.6226416,521,548,1,0,Window
187,172,32164,1.0872093,1290,547,1,0,Window
168,162,27216,1.037037,1185,547,1,0,Window
96,75,7200,1.28,1297,546,1,0,Window
209,195,40755,1.0717949,206,536,1,0,Window
82,22,1804,3.7272727,1838,502,1,0,Window
168,125,21000,1.344,561,497,1,0,Window
53,56,2968,0.9464286,0,487,1,0,Window
99,68,6732,1.4558823,1293,478,1,0,Window
100,69,6900,1.4492754,1186,477,1,0,Window
480,271,130080,1.7712177,198,475,1,0,Window
420,249,104580,1.686747,1144,472,1,0,Window
52,40,2080,1.3,1776,362,1,0,Window
53,83,4399,0.6385542,1833,361,1,0,Window
123,125,15375,0.984,1769,324,1,0,Window
86,88,7568,0.97727275,1334,324,1,0,Window
82,59,4838,1.3898305,1334,324,1,0,Window
83,59,4897,1.4067796,1246,324,1,0,Window
184,101,18584,1.8217822,1156,324,1,0,Window
37,28,1036,1.3214285,109,54,1,0,Window
60,82,4920,0.73170733,129,50,1,1,Door
175,84,14700,2.0833333,0,50,1,0,Window
61,31,1891,1.967742,1690,1186,1,0,Window
67,48,3216,1.3958334,420,1172,1,0,Window
102,59,6018,1.7288135,1557,1169,1,0,Window
61,79,4819,0.7721519,1808,1091,1,0,Window
111,88,9768,1.2613636,0,990,1,0,Window
140,79,11060,1.772152,1575,944,1,0,Window
77,85,6545,0.90588236,2384,937,1,0,Window
54,36,1944,1.5,1875,903,1,0,Window
93,72,6696,1.2916666,61,893,1,0,Window
77,61,4697,1.2622951,256,876,1,0,Window
41,117,4797,0.35042736,1436,1113,1,1,Door
74,153,11322,0.48366013,2486,1076,1,1,Door
49,183,8967,0.26775956,856,1045,1,1,Door
59,155,9145,0.38064516,1727,1011,1,1,Door
56,151,8456,0.37086093,1651,1011,1,1,Door
60,128,7680,0.46875,1392,630,1,1,Door
71,142,10082,0.5,1765,586,1,1,Door
28,104,2912,0.26923078,648,1035,0.90000004,1,Door
27,103,2781,0.26213592,612,1034,0.90000004,1,Door
158,236,37288,0.6694915,1252,994,0.90000004,1,Door
